;Entite;Label;liste_contxt_gauche;liste_contxt_droit
1394;Paris;LOC;and égaré dans ;". Dès
que les m"
1395;"comtesse de
";LOC;prirent que la ;Granville avait
1396;Granville;LOC;"la comtesse de
"; avait trouvé p
1397;Marais;LOC;aisons dans le ;. Son succès ta
1398;four—;LOC;’acier bronzé, ;" _

rés de seme"
1399;Mesdemoiselles;LOC;lles comme : « ;", les
« chats o"
1400;Paris;LOC;la crotte dans ; cette nuit, » 
1401;gallique;LOC;tois germanico—;":

Montemissell"
1402;Montemisselle;LOC;"ico—gallique:

";, lc' chats hon
1403;l’;LOC;il prenait, en ;offraut, un air
1404;qu’;LOC;étrée par lui, ;il se_fût rendu
1405;l’;LOC;xprès, s’il ne ;ont pas été nat
1406;Saint—Martin;LOC;ression de feu ;", doré
de la bo"
1407;l’;LOC;obles idées de ;éducation relig
1408;l’;LOC;"’ä la porte de
";appartement. Là
1409;l’;LOC; difﬁcultés de ;art musical à s
1410;s’;LOC;’art musical à ;y briser. La Mé
1411;Composition;LOC;l—larmonie, la ;, ces trois ﬁll
1412;Faune;LOC;é par ce vieux ;" catholique
ivr"
1413;Paësiello;LOC;thoven, Haydn, ;, Cimarosa, Hum
1414;Cimarosa;LOC;dn, Paësiello, ;, Hummel et les
1415;Hummel;LOC;llo, Cimarosa, ;" et les gé—
nie"
1416;Saintes—Céciles;LOC;s appelait ses ;".

Les deux Mar"
1417;qu’;LOC;llèrént au bal ;à l’âge de seiz
1418;l’;LOC;nt au bal qu’à ;âge de seize an
1419;répon—;LOC;s ne pouvaient ;"
dre que oui ou"
1420;peti—;LOC;s. Les pauvres ;"

 

tes avaien"
1421;"pulpe
blanche";LOC;ouilla donc la ; de leur cervea
1422;Ève;LOC;"ient de
santé. "; ne sortit pas 
1423;Mairie;LOC;our aller à la ; et à l’Église,
1424;l’Église;LOC;la Mairie et à ;, avec la simpl
1425;Grati-;LOC;s, le comte de ;"
ville, ce gran"
1426;l’;LOC;’était réservé ;éducation de se
1427;l’;LOC;"r des hommes
à ";application de 
1428;l’;LOC;miers jours de ;an, ceux de dis
1429;appar—;LOC;mbres dans son ;"
tement, et leu"
1430;Avocat;LOC;s sœurs, l’un, ;—Général a une 
1431;tour—;LOC;oppees dans un ;"
billon d’intér"
1432;l’;LOC;désunion, dans ;"oubli les
uns d"
1433;l’;LOC;de—chaussée de ;hôtel une ﬁgure
1434;solen—;LOC;nomie grave et ;"
nelle du magis"
1435;l’;LOC;eurent dépassé ;âge des joujoux
1436;l’;LOC;"s
douze ans, a,";époque où elles
1437;l’;LOC; la paternité, ;amour des pères
1438;singulière—;LOC;leurs émouvant ;"
ment des jeune"
1439;l’;LOC;"ait
’une après ";autre au front.
1440;compas—;LOC; plus profonde ;"
sion.

— Vous "
1441;l’;LOC;" aime ceux que
";"on'plaint.

Cet"
1442;Rita—Christina;LOC;" malheur
comme "; par la nature.
1443;jour—;LOC;s annonces des ;"
naux et les et"
1444;Marie-Eugénie;LOC;"-
Angélique et ";. Peut—être y a
1445;l’;LOC;res. Cependant ;"im—
meuse major"
1446;l’;LOC; qui n’ont pas ;"âge d’Arnolphe
"
1447;Céli—;LOC;igieuse qu’une ;"
mène en herbe."
1448;déta—;LOC;leurs vivement ;"
chées sur un t"
1449;l’;LOC;blanc ﬂuide de ;œil. Elles étai
1450;l’;LOC;r pour le bal: ;un etl’autre jo
1451;l’;LOC;ette scène, où ;aînée pleurait 
1452;l’;LOC;vaient nourri, ;une un garçon, 
1453;l’;LOC;"prévues. Ainsi
";innocente, la g
1454;gaie Eugénie;LOC;’innocente, la ; était tombée s
1455;senti—;LOC;ndes luttes du ;"
ment, avaitété"
1456;Italiens;LOC;apparition aux ;, elle avait en
1457;l’;LOC;la violence de ;orage qu’elle y
1458;Es;LOC;"èrent ﬁxes.

— ";—tu donc aussi 
1459;t’;LOC;te pour ne pas ;écouter ! Nous 
1460;Tuileries;LOC;s. Je vais aux ; quand tu n’y v
1461;Obl;LOC;"généreux...

— "; pas de reproch
1462;para—;LOC;entrer dans le ;"
dis de l’amour"
1463;l’;LOC;"e para—
dis de ";"amour ;, il lui"
1464;l’;LOC;ns le monde de ;"ambition ; souf"
1465;ÈVE;LOC;" 

UNE FILLE D’";".

317

 

 

O"
1466;l’;LOC;"e promenade
où ";on verra dans l
1467;Songe;LOC;"ui les fuient!
";, mon enfant, q
1468;résis—;LOC; enhardie à la ;"
tance et je se"
1469;l’;LOC;béissais pas à ;étiquette créée
1470;maison,-je;LOC;"tte
somptueuse "; suis au milieu
1471;Nucin-;LOC;r, le baron de ;"
gen. Quelquefo"
1472;j’;LOC;n. Quelquefois ;assiste à des d
1473;l’;LOC;"discrétion, et
";on parle devant
1474;Nucingen;LOC;ns ﬁnancières. ; et lui se souc
1475;j’;LOC;s dupes de qui ;"ai entendu
fair"
1476;Léonarde;LOC;"envie,
comme à "; dans la cavern
1477;Tillet;LOC;e-gorge. Et du ;", Nu-
cingenjet"
1478;Tillet l’;LOC;nand achète au ;"emplacement
de "
1479;l’;LOC;"emplacement
de ";ancien château 
1480;Nucingen;LOC;"il sera noble.
";,‘ las de son h
1481;rue Saint—Lazare;LOC;on hôtel de la ;", cons—
truit u"
1482;cons—;LOC; Saint—Lazare, ;"
truit un palai"
1483;l’;LOC;s-y ce soir, à ;instant, dit ma
1484;pous—;LOC;t du Tillet en ;"
sant la porte "
1485;Tillet;LOC; voiture de du ;" en
entrant. La"
1486;l’;LOC;che qu’elle ne ;"est, répon-
dit"
1487;beau—frère;LOC; regardant son ;". Les femmes
so"
1488;Tillet;LOC;e, répondit du ; avec une miell
1489;l’;LOC;"ur.

—-Elle ne ";est que pour vo
1490;l’;LOC;"
à la merci de ";hommedont le po
1491;Eugénie;LOC;"ndrai chercher
";" demain.

— Dem"
1492;de France;LOC; un futur pair ;",
le baron de N"
1493;Nucingen;LOC;"e,
le baron de ";, qui me laisse
1494;l’;LOC;pter ma loge a ;"O-
péra? dit la"
1495;Tillet;LOC; rieur, dit du ;".

' religieuse"
1496;Soyez;LOC;"it_à rire.

-— "; tranquille, en
1497;Tillet;LOC;e ! s‘écria du ; en ramassant _
1498;l’;LOC;"
sœur vient de ";être ici. Vous 
1499;dé‘Solc;LOC;" niais

qui me ";". _ \ _ _

Eugé"
1500;interroga—;LOC;n craignant un ;"
toire. Du Till"
1501;Vernie‘il;LOC;"ns des
bras de ";, entre dem: dé
1502;Votre;LOC;"e sa
femme.

— "; sœur est venue
1503;Clichy;LOC;"c1euse,
rue de ";, dit—il froide
1504;qu’;LOC;"lement nerveux
";elle réprima. _
1505;Vandene‘sse;LOC;"La comtesse
de "; est trop heure
1506;l’;LOC;ie, elle ne me ;aurait pas dit.
1507;Tillet;LOC;la est, dit du ;. Je vous défén
1508;Tenez;LOC;lle en prison. ;—veusle pour di
1509;veusle;LOC; prison. Tenez—;" pour dit.

Mad"
1510;Tillet;LOC;ant, se dit du ;" ;
resté seul d"
1511;qu’;LOC;puis six 'ans, ;elle serait ini
1512;desti—;LOC;ui durent leur ;"
née à la Resta"
1513;l’;LOC; ont rencontré ;amour sous sa p
1514;Paris;LOC;bles hommes de ;. Il avait été 
1515;créa—;LOC;es plus nobles ;"
tures de ce si"
1516;Parisiennes;LOC;de beaucoup de ;", Fé-
lix, espè"
1517;qu’;LOC;"enchante-
ment ";il remportait d
1518;comtesse de Granville;LOC;dre comment la ; tenait ses ﬁll
1519;l’;LOC;r la _ main de ;aînée. Il avait
1520;s’;LOC;"mable, prêt
à _";ouvrir aux beau
1521;l’;LOC;ndes ﬁgures de ;esclavage antiq
1522;Divinité;LOC;cteur comme la ;, le Désenchant
1523;Marie—Angélique;LOC;oire maternel, ; monta tout à c
1524;Rocher;LOC; Félix, rue du ;",
dans un hôtel"
1525;a—;LOC;ique savoure d’;"
bord les jouis"
1526;l’;LOC;ses de la vie, ;initia par degr
1527;l’;LOC; la guide dans ;"art de
la toile"
1528;Vandenesse;LOC;la comtesse de ;" une des
femmes"
1529;MarieAngélique;LOC;"s actuel. . -

"; éprouva précis
1530;l’;LOC;les sans avoir ;air de la garro
1531;l’;LOC;es attraits de ;"habitude.
Il n’"
1532;s’;LOC;"ou—
blement en ";occupant de l’œ
1533;l’;LOC; s’occupant de ;œuvre et en voy
1534;peuvent—;LOC;tres années ne ;"
elles rien fou"
1535;fade;LOC;nelles amours, ; comme la manne
1536;l’;LOC;me le roman de ;"Astrc'e.

En 18"
1537;qu’;LOC;ses bases sans ;il s’en doutât.
1538;l’;LOC;gle absolue de ;art militaire. 
1539;parfaite—;LOC; en se sentant ;"
ment développé"
1540;l’;LOC;"pp05és : quand
";un manque, l’êt
1541;l’;LOC;ins nuageux de ;amour. Le probl
1542;pein—;LOC;en abordant la ;"
ture du paradi"
1543;Rivarol;LOC;tesse, comme à ; lisant Florian
1544;l’;LOC;e sentait dans ;"â—
me une force"
1545;lac pur n’;LOC;"
charmante. Ce ";était ridé par 
1546;conﬁer;LOC;"horrible de
le "; à son cher pet
1547;Vandenesse;LOC;eu des ﬂammes. ;",
heureux de ce"
1548;l’;LOC;s tempérées de ;"a—
mour conjuga"
1549;indi—;LOC;ait d’ailleurs ;"
gnes d’une âme"
1550;l’;LOC;"rlatanisme qui
";eussent grandi,
1551;qu’;LOC;"ndait pas jus—
";à ramasser les 
1552;l’;LOC;s écueils : on ;attribue au car
1553;"théâtre de
la Scala";LOC; les chœurs au ;. La jeune 'com
1554;l’;LOC;"able d’aborder
";emploi de prima
1555;conversa—;LOC;le se mêle aux ;"
tio'ns. D’ingé"
1556;Vandenesse;LOC;ès l’enhardit. ;", à
qui on avai"
1557;Avez;LOC;"re à Félix:

— ";—vous été conte
1558;qu’;LOC;"emère, quijus-
";alors l’avait p
1559;l’;LOC;"ijus-
qu’alors ";avait patronéc,
1560;l’;LOC;"u,
n’ayant pas ";air de penser b
1561;Europe;LOC;" voyagerent
en ";, et les salons
1562;l’;LOC;ntre autres de ;ambassadeurd’du
1563;Vandenesse;LOC;s convictions, ; ne se crut pas
1564;l’;LOC;"le mariée dans
";élégante, la sp
1565;produi—;LOC;mtesse, qui se ;"
sit elle-même "
1566;l’;LOC;s exquises* de ;"a—
ristocratie "
1567;Manerville;LOC;s d’Espard, de ;",
lady Dudley, "
1568;serpens;LOC; leur cœur des ;" se réveiller; "
1569;l’;LOC;emens ﬂûtés de ;orgueil en colè
1570;d’;LOC;lheur. Au lieu ;être hostiles à
1571;Paris;LOC;tuelle femmede ;. L’autre belle
1572;éprou—;LOC;de Vandenesse, ;"
vait initie dé"
1573;Marie—Angélique;LOC;la triomphante ;".
Ce fut de dan"
1574;promè—;LOC;es voleurs s’y ;"
nent? Si, dura"
1575;urbai—;LOC; en agitaticns ;"
nes, politique"
1576;Li—;LOC;la poésie : le ;"
vre et le Théâ"
1577;Théâtre;LOC;" Li—
vre et le ";. Il était souv
1578;l’;LOC;nt question de ;"amant, cet
être"
1579;l’;LOC;e remarque est ;éloignement que
1580;l’;LOC;"ide; elles
ont ";air de demander
1581;l’;LOC;e carrefour de ;indécision, et 
1582;Van—;LOC;la comtesse de ;"
denesse entend"
1583;préten—;LOC;ur d’elle. Ses ;"
dues amies, qu"
1584;dessiné—;LOC;positions, lui ;"
rent a plusieu"
1585;l’;LOC;sante ﬁgure de ;"amant,
et lui j"
1586;l’;LOC; jetèrent dans ;âme des paroles
1587;l’;LOC;s ardentes sur ;"amour,
le mot d"
1588;l’;LOC;"our,
le mot de ";énigme que la v
1589;Vandenesse;LOC;"la marquise de
";". « -

— Le mar"
1590;Italiens;LOC;nde, après les ; ou l’Opéra, so
1591;Touches;LOC;demoiselle des ;, la comtesse d
1592;Mont—;LOC;la comtesse de ;"
cornet ou la v"
1593;Touches;LOC;demoiselle des ; et de la duche
1594;l’;LOC;"s nouvelles
de ";art, de la scie
1595;ÈVE;LOC; ‘ UNE FILLE D’;".

321

 

 

l"
1596;l’;LOC;s paresseux de ;époque, Emile B
1597;journa—;LOC; vanté par les ;"
listes, mais i"
1598;plai—;LOC;u moyen-âge si ;"
samment nommés"
1599;s’;LOC;me de génie en ;enrôlant parmi 
1600;l’;LOC;"
adorateurs de ";art dont les in
1601;Français;LOC;"le costume des
"; au dix—neuvièm
1602;fastueuse—;LOC;s? répondit-il ;"

corde mieux a"
1603;qu’;LOC;ier au naturel ;"il ne l’est j

"
1604;l’;LOC;turel qu’il ne ;"est j

avec ses"
1605;l’;LOC;"te,

lui donne ";air de s’être b
1606;mons;LOC;" ou les dé— ‘

";, elle ressembl
1607;puis—;LOC;humaine et les ;"
sances d’en ha"
1608;l’;LOC;ésordre vise à ;"effet. Ce
Byron"
1609;napoléo—;LOC;oul a des yeux ;"
niens, des yeu"
1610;l’;LOC;egard traverse ;"âme ; un
nez to"
1611;lise;LOC;s les regards. ; fait remarquer
1612;moteur—;LOC;r à Molière le ;"
ployé par Elia"
1613;malpropre—;LOC;our peindre le ;" sur soi. Ses
v"
1614;convul—;LOC;oulée sous les ;"
sions de ses m"
1615;gour—;LOC;rs ou de leurs ;"
mettes. Sa bar"
1616;srÈctn;LOC;"uspensions

LE ";". —— nur.

 

i"
1617;conversa—;LOC;s de Paris. Sa ;"
tion, pleine d"
1618;amour—;LOC;sa vanité, son ;"
propre ou. son"
1619;théâtre l’;LOC;Les revenus du ;"avaient sé—
dui"
1620;Bruel;LOC;villiste, a du ;, qui mettait e
1621;Théâtre—Français;LOC;" lui seul —
au "; un grand drame
1622;Français;LOC;"noble Théâtre-
";, par une magni
1623;colla—;LOC;aites avec ses ;"
borateurs, mai"
1624;Nathan;LOC;voie difﬁcile, ;"
était retombé "
1625;costu—;LOC;ans la pièce à ;"
mes, et la réi"
1626;haute littéra—;LOC;eurs abordé la ;"
ture et publié"
1627;qu’;LOC;s compter ceux ;"il entre—
tenai"
1628;entre—;LOC;ter ceux qu’il ;"
tenait sous 'p"
1629;l’;LOC; beau livre de ;"é-
poque, l’uni"
1630;l’;LOC;s exigences de ;"art; il était u"
1631;l’;LOC;s célébrités e ;agonie, soutenu
1632;Nathan;LOC;té de marchés, ; ressemblait à 
1633;l’;LOC;"chataud, comme
";envie lui en pr
1634;l’;LOC;"ique
en voyant ";irruption au po
1635;l’;LOC;de tout, à qui ;on vole tous le
1636;guet—;LOC;stéralisme. Il ;"
tait son os ti"
1637;l’;LOC;au sérieux par ;illustre de Mar
1638;Marsay;LOC; l’illustre de ;, qui dirigeait
1639;constdéra—;LOC;n’avait aucune ;"
tion pour les "
1640;l’;LOC;helieu nommait ;esprit “de suit
1641;l’;LOC;s escomptes de ;"es-
prit. Puis,"
1642;l’;LOC;"er-
sonnes qui ";aimant des barb
1643;l’;LOC;é de son cœur, ;"impudeur
de sa "
1644;qu’;LOC;" tant d’a—
mis ";il souhaite des
1645;Nathan;LOC;e, il manque à ;" le
style et l’"
1646;l’;LOC;"elon
un mot de ";argot littérair
1647;Paris;LOC;s’abattent sur ;, ou que Paris 
1648;Paris;LOC; Paris, ou que ; fait lever. Sa
1649;fécon—;LOC;fait lever. Sa ;" '
dité n’est p"
1650;circons—;LOC; il vit sur la ;"
tance, el., po"
1651;tance;LOC;"ur la circons—
";, el., pour la 
1652;el;LOC;"ircons—
tance, ";., pour la domi
1653;Nathan;LOC;"ce,
onle sent. "; offre une imag
1654;re—;LOC;illonnantes, à ;"
vers soudai'ns"
1655;l’;LOC;"oﬁt l’hydre
de ";anarchie de tou
1656;Pouvoir;LOC;bon plaisir du ;. Quand tant de
1657;Marsay;LOC;"litique des
de ";, des Rastignac
1658;Rastignac;LOC;de Marsay, des ;, des La Roche 
1659;répu—;LOC;tations, de sa ;"
gnance pour l’"
1660;Nathan;LOC;ntroducteur de ;, continuait so
1661;l’;LOC;onde. Il était ;ami de Raoul, l
1662;tignac;LOC;" l’ami de Bas—
";, l’ami de Monl
1663;l’;LOC;"e Bas—
tignac, ";ami de Monlcorn
1664;répu—;LOC; tournure. Son ;"
blicanisme emp"
1665;Rocher;LOC; rle la rue du ;, le serpent cb
1666;FILLE;LOC;"d une in—

UNE ";" D’ÈVE. ses

 
"
1667;ÈVE;LOC;"—

UNE FILLE D’";". ses

 

,ﬁuen"
1668;Nathan;LOC;"s épau-
les de "; éblouit cette 
1669;extraor—;LOC;voyantcet être ;"
dinaire—. Ce s"
1670;invo—;LOC;es tremblemens ;"
lontaires par "
1671;Paris;LOC; précipiterait ;" vers le
Jardin"
1672;Jardin des Plantes;LOC;" Paris vers le
"; pour y voir un
1673;l’;LOC;ne licorne, si ;"on en trou—
vai"
1674;trou—;LOC;ne, si l’on en ;"
vait une dans "
1675;Lune;LOC;ontagnes de la ;", encore
vierge"
1676;Européen;LOC;s des pas d’un ;, cuivre les pe
1677;ton—;LOC;it donc trop à ;"
tes les femmes"
1678;l’;LOC;a chère, dit à ;oreille de Mari
1679;compren—;LOC;e les maris ne ;"
nent pas toujo"
1680;Mon cher;LOC;"’emmener.

' — ";, dit madame d’
1681;l’;LOC;ame d’Espard à ;oreille de Raou
1682;Sais-tu;LOC;"t quittés.

—— "; ce que la marq
1683;comtesse de Van—-;LOC;prendre que la ;"
dénesse est to"
1684;Toustrois;LOC;it sa voiture. ; se mirent à ri
1685;républi—;LOC;lectique, d’un ;"
cain féroce et"
1686;l’;LOC; aux dépens de ;ordre de choses
1687;l’;LOC;"
le scalpel de ";épigramme et la
1688;l’;LOC;res paysages à ;aquarelle, de p
1689;l’;LOC;"'

guste'e par ";amour. A 'la tr
1690;éton—;LOC;s ne serez pas ;"
nés de m’enten"
1691;j’;LOC;ous avouer que ;ignore absolume
1692;l’;LOC;" la
couleur de ";amour d’une com
1693;Beatrix;LOC;" me donner une
";, une Laure, au
1694;qu’;LOC;ure, autrement ;en poésie ! Une
1695;l’;LOC;"a ver—
dure de ";"oasis.

—— Va, "
1696;Rastignac;LOC;homme. lui dit ;"; déman—
che_su"
1697;déman—;LOC;"dit Rastignac; ";"
che_sur la qua"
1698;d’;LOC;" patelins près
";elles prennent 
1699;l’;LOC;, scolateur de ;"élégance an—
gl"
1700;l’;LOC;ise à laquelle ;avait jadis hab
1701;l’;LOC;traste plaît à ;imagination des
1702;l’;LOC;ne extrémité à ;autre. La comte
1703;àRaoul;LOC;même de penser ;", en se
trouvan"
1704;l’;LOC;t a eu tort de ;admettre chez e
1705;élas—;LOC;une incroyable ;"
ticité: quand "
1706;Vandenesse;LOC; Raoul, et que ; avait en le to
1707;Marsay;LOC; Dudley, où de ; parut pour la 
1708;Etat;LOC;n d’un homme d’; immense, dont 
1709;assem—;LOC;han dans cette ;"
blée remarquab"
1710;l’;LOC; se comparer à ;une des serres 
1711;magniﬁ—;LOC;blent les plus ;"
ques rarelés. "
1712;crea—;LOC;utter avec les ;"
tions animées."
1713;qu’;LOC;"faisait croire
";elles avaient é
1714;Rubens;LOC;asses comme si ; en avait prépa
1715;l’;LOC;e, stimulaient ;attention des p
1716;Anglais;LOC;"res graves
des ";, les Visages g
1717;Visages;LOC;s Anglais, les ; gracieux de l’
1718;l’;LOC;es gracieux de ;aristocratie fr
1719;l'Europe;LOC; les ordres de ; scintillaiént 
1720;l’;LOC;tés dites sous ;éventail, ou‘se
1721;Nathan;LOC;"
à causer avec ";. Peut—étre céd
1722;—elle;LOC;eut—étre cédait; a cette ivress
1723;Al’;LOC;"*

crêtes. - '
";aspect de cette
1724;BALZAG;LOC;"t… ._.,

 

DE ";". '

',""'…“*"":
"
1725;Nathan;LOC;s encore venu, ; fut mordu au c
1726;beau—frère;LOC;oche—Hagen, le ;", était direc-
"
1727;Etat;LOC;s-secrétaire d’;" et
allait, sui"
1728;Nucingen;LOC;" du ba—
ron de ";" ; en voyant da"
1729;Etat;LOC;s au conseil d’;, des professeu
1730;de France;LOC;"fesseurs
pairs ";, il Se vit ave
1731;Nathan;LOC;ut aux yeux de ; un frappant ex
1732;l’;LOC;des opinions à ;instar des de M
1733;Marsay;LOC;’instar des de ;", Resti—
gnac, "
1734;gnac;LOC;"Marsay, Resti—
";, Blondet, Tall
1735;fréné—;LOC;feu d’un désir ;"
tique, il tomb"
1736;Vandenesse;LOC;la comtesse de ;" comme un
milan"
1737;milan;LOC;"nesse comme un
"; sur sa proie. 
1738;ascen—;LOC;te d’un ancien ;"
dant, cette fe"
1739;l’;LOC;e. Pendant que ;"ancienne maï—
t"
1740;l’;LOC;ot, il suggère ;idée à cette ch
1741;qu’;LOC;assoupis. Quoi ;il en fût, quan
1742;l’;LOC;ront attrislé, ;"air

1éveur. La"
1743;broassailles;LOC;core sorti des ;" où sa femme
l’"
1744;l’;LOC;"es où sa femme
";avait promené p
1745;l’;LOC;ture entrait à ;hôtel. Ce fut l
1746;l’;LOC;"ruse que
dicta ";amour. Marie fu
1747;rue Basse—du—Rempart;LOC;"aire.
Entre la "; et la rue Neuv
1748;rue Neuve;LOC;—Rempart et la ;"—des—
Mathurins"
1749;Mathurins;LOC;"rue Neuve—des—
";, Raoul avait, 
1750;Nathan;LOC;ns les amis de ;, des journaux,
1751;l’;LOC;veloppé et que ;usage aiguisait
1752;dépen—;LOC;e les gens qui ;"
sent leur vie "
1753;l’;LOC;"
dans! Mais si ";on pense au pet
1754;l’;LOC; les forces de ;esprit, de la m
1755;l’;LOC; hauts cris si ;on brise une po
1756;Decamps;LOC;ne croqnade de ;", la un
plâtre "
1757;Caroline;LOC;e lord Byron à ; encadré dans d
1758;l’;LOC;"ncadré dans de
";ébène sculpté p
1759;l’;LOC;pâtre, et dont ;"original est

 "
1760;Vienne;LOC;"

au trésor de ";" ; puis, de cha"
1761;Renaissance;LOC;e oiseau de la ;. Une horloge d
1762;Boule;LOC;"Une horloge de
";, sur un piédes
1763;du Japon;LOC; à des cornets ;". Sur
une étagè"
1764;l’;LOC;" avait
reconnu ";ascendant de la
1765;l’;LOC;luxe exquis de ;artiste qui n’a
1766;qu’;LOC;journaux avant ;ils ne parussen
1767;aléa—;LOC;e. —Ses rentes ;"
toires étaient"
1768;l’;LOC;"s
nouvelles de ";"industrie; mais"
1769;l’;LOC; pour ceux qui ;entendaient hyp
1770;remon—;LOC;ui faisait des ;"
trances : .

—"
1771;grand—livre;LOC; francs sur le ;".

Personne ne "
1772;débu—;LOC;treize ans, et ;"
tait deux ans "
1773;Sensible;LOC;"ait encoreplus
"; leur expressio
1774;l’;LOC; ou pour avoir ;air de méditer,
1775;qu’;LOC;le au sarcasme ;"à l’amour,
étai"
1776;l’;LOC; sarcasme qu’à ;"amour,
était em"
1777;l’;LOC;tenté, excepté ;amputation, pou
1778;l’;LOC;"nis
de coton à ";intérieur pour 
1779;parti—;LOC;ait une saveur ;"
culière en jou"
1780;l’;LOC;très forte sur ;"escompte et
sur"
1781;Brie;LOC; au fromage de ;" jusqu‘à celle
"
1782;l’;LOC;oque le ban et ;arrière-ban des
1783;Peuple;LOC;"s; elle

était "; par l’expérien
1784;Etat;LOC;"vieil

homme d’";, et pouvait ai
1785;connais—;LOC;pénétrer. Elle ;" ,

sait le man"
1786;manège;LOC;"is— ,

sait le "; à employer ave
1787;commis—;LOC;hoses comme un ;"
saire—priseur."
1788;l’;LOC;" assez
cher de ";argent que je v
1789;l’;LOC;"ait d’ailleurs
";aveu d’une_infé
1790;Euphrasie;LOC;it les Tullia, ;, les Aquilina,
1791;BALZAG;LOC;"assentà

 

DE ";":

travers Pari"
1792;Paris;LOC;"LZAG:

travers "; comme les ﬁls 
1793;qu’;LOC;"s—
phère, sans ";on sache où ell
1794;vien—;LOC; ni d’où elles ;" ‘
nent, aujour"
1795;l’;LOC; son mépris de ;avenir. Quoique
1796;Bohême;LOC;"e la vie de
la "; se. déployât c
1797;l’;LOC;u des rires de ;artiste, la rei
1798;l’;LOC;"térature
et de ";art mêlés a la 
1799;Fantaisie;LOC;e Spleen et la ;" étaient
sacrés"
1800;Couture;LOC;"euilletoniste,
";, Bixiou, Rasti
1801;Bixiou;LOC;"iste,
Couture, ";, Rastignac aut
1802;Rastignac;LOC;uture, Bixiou, ; autrefois, Cla
1803;Tillet;LOC;e banquier, du ;, Conti le comp
1804;l’;LOC;auvais lieu de ;esprit et comme
1805;l’;LOC;"me
le bague de ";intelligence : 
1806;quel—;LOC; une célébrité ;"
conque par des"
1807;l’;LOC;" que personne
{";avoue, enﬁn tou
1808;Paris;LOC;"nt tout faire.
"; est le seul li
1809;Théâtre;LOC;iédestal quels ; fait a une fem
1810;igno—;LOC;"s; mais toutes ";"
rent les réali"
1811;l’;LOC;l de manège où ;"ac—
trice est s"
1812;Paris;LOC;ièces par en à ;. Pendant chaqu
1813;dix—-;LOC;oué un rôle du ;"
huitième siècl"
1814;ger;LOC;"errer, ni man-
";, ni parler. Fl
1815;Couchée;LOC;"res %; donner? "; à une ou deux 
1816;Théâtre n’;LOC; croire que le ;exigeait pas ce
1817;bourgeoise—;LOC;aller cueillir ;" '

ment des ﬂe"
1818;l’;LOC;tenéore agi de ;"art,

de l’expr"
1819;l’;LOC;" de l’art,

de ";expression des 
1820;Contat;LOC;, de Baron, de ;", de Clai—
ron,"
1821;l’;LOC;oint de sexe : ;artiste qui tri
1822;l’;LOC;sse a mendier, ;autre a se sout
1823;qu’;LOC;"t
goûté, c’est ";il y est comme 
1824;d’;LOC;" Comme aujour—
";hui quelques vi
1825;journa—;LOC;t implorer les ;"
listes quand u"
1826;sacriﬁé;LOC;ui aurait tout ;".
Raoul pouvait"
1827;l’;LOC;" théâtre.
Sans ";intervention d’
1828;l’;LOC;lléeheinens de ;habitude, elle 
1829;l’;LOC;ui la pente de ;esprit humain v
1830;qu’;LOC;oncevront bien ;"après dix
ans d"
1831;tourmen—;LOC;introduire les ;"
tes de la pass"
1832;Ras';LOC;uvelles que ni ;tignac ni de Ma
1833;l’;LOC;avait appris à ;actrice la diss
1834;la France;LOC;n politique de ;" en 1834.
De qu"
1835;répu—;LOC;blicains purs, ;"
blicains à pré"
1836;consti—;LOC;ns répubiique, ;"
tutionnels san"
1837;l’;LOC;nce accusaient ;effroyahle pâle
1838;l’;LOC;ldat. Blondet, ;esprit le plus 
1839;Nathan;LOC;nseilla donc à ; de ne pas apos
1840;Nathan;LOC;"i triomphentl

"; décida de crée
1841;Nathan;LOC;l tombera, dit ;".

Il parcourut"
1842;j’;LOC;" Florine; mais ";aimerais mieux 
1843;—- Non;LOC;"la talonne.

, ";? cent fois non
1844;coquille‘l;LOC;r à Florine sa ;"...

—< Renvers"
1845;j’;LOC;D’après ce que ;ai compris, lui
1846;Où prendras;LOC;"s
congés ?

-— ";-tu de l’argent
1847;l’;LOC;prendras-tu de ;argent“? dit—el
1848;—elle;LOC; l’argent“? dit;".

'-.— Chez mo"
1849;l’;LOC;"ot symbolisait
";usure, comme da
1850;Tillet;LOC;" sceaux,
de du "; qui veut être 
1851;Etienne;LOC;voquerons ici _;"
Lousteau qui f"
1852;Bourse;LOC;"occupera de la
"; et de l‘Indust
1853;A l’hôpital;LOC;"veront. _ ,

— "; ou au ministèr
1854;Mais l’;LOC;" Florine. .

— ";avocat, mais du
1855;Tillet;LOC;vocat, mais du ; et Raoul ne pe
1856;Paris;LOC;ou de tomber à ;".

Florine ﬁt u"
1857;moyen—âge;LOC;s dans un rôle ;", elle vou—
lai"
1858;l’;LOC;ère pour avoir ;"air
pauvre et s"
1859;soixante—dix;LOC; donnèrent que ;"
mille francs d"
1860;A;LOC;"le francs.

-— "; prendre ou a l
1861;Théâtre àla Chambre;LOC;n autre, ni du ;",
sans des rais"
1862;l’;LOC;" que c’est que
";instinct! Elle 
1863;mainte—;LOC;Le nom, oublié ;"
nant comme le_"
1864;Libéral;LOC;nant comme le_ ;, le Communal, 
1865;Communal;LOC;e_ Libéral, le ;, le Départemen
1866;Départemental;LOC;e Communal, le ;", le
Garde Nati"
